[12Mar2024 00:00:28.935] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6785, y=65, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.952] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6784, y=65, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.952] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=65, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.953] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=65, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.953] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=65, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.953] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=65, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.953] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=65, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.953] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=65, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.954] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=65, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.954] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=65, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.954] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6785, y=66, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.954] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6784, y=66, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.955] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=66, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.955] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=66, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.955] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=66, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.956] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=66, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.956] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=66, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.957] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=66, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.957] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=66, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.958] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=66, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.958] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6785, y=67, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.958] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6784, y=67, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.958] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=67, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.959] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=67, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.959] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=67, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.960] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=67, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.960] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=68, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.961] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=68, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.961] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=68, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
